Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 731,0.008882091212,0.03396092093,0.002033741194,,0.01495891778
Dim 680,0.01873007045,0.0219842472,0.004124953652,,0.01494642377
Dim 725,0.01536707453,0.01665707361,0.0127289581,,0.01491770208
Dim 325,0.01362068966,0.02199787943,0.002037449017,0.02199110122,0.01491177983
Dim 96,0.01623470523,0.02418661012,0.003331479422,0.01513904338,0.01472295954
Dim 147,0.01437708565,0.02468948803,0.002810530219,0.01680385614,0.01467024001
Dim 21,0.02930292918,0.0183611027,0.001840934372,0.009128661476,0.01465840693
Dim 736,0.01809417872,0.01347318994,0.01234890619,,0.01463875828
Dim 161,0.01230070449,0.02303089973,0.002871709307,0.02004449388,0.01456195185
Dim 488,0.006294030404,0.01882156922,0.00621616611,0.02679644049,0.01453205156
Dim 376,0.007667779014,0.02233262648,0.004705228031,0.02333333333,0.01450974171
Dim 130,0.0114349277,0.0261541957,0.003121987393,0.01723025584,0.01448534166
Dim 600,0.01813496478,0.01923205089,0.006040044494,,0.01446902005
Dim 300,0.03228031146,0.008576189034,0.003759733037,0.01322580645,0.01446050999
Dim 744,0.02800704486,0.007181157225,0.007997775306,,0.0143953258
Dim 368,0.02596032629,0.01948197516,0.008967371153,0.003058954394,0.01436715675
Dim 261,0.01591027067,0.01509996971,0.00613088617,0.0202373007,0.01434460681
Dim 862,,,0.01434371524,,0.01434371524
Dim 907,,,0.0143381535,,0.0143381535
Dim 434,0.01126992955,0.01011057255,0.01042269188,0.02552465703,0.01433196275
Dim 428,0.02857619577,0.0108088458,0.008704115684,0.009106414535,0.01429889295
Dim 335,0.004899888765,0.01557103908,0.009378939562,0.02720059325,0.01426261516
Dim 250,0.010504264,0.01194637988,0.003222098628,0.0312773452,0.01423752193
Dim 133,0.01872821654,0.01871705544,0.001890989989,0.01759733037,0.01423339808
Dim 223,0.02734890619,0.0232990003,0.003400074156,0.002799406748,0.01421184685
Dim 531,0.03058954394,0.00823689791,0.003707823508,,0.01417808845
Dim 565,0.0222395254,0.01791729779,0.002326659251,,0.01416116081
Dim 269,0.01665368928,0.01044380491,0.002690025955,0.02677975528,0.01414181886
Dim 57,0.02247497219,0.02063768555,0.00517982944,0.007788283278,0.01402019261
Dim 390,0.006879866518,0.007876401091,0.008159065628,0.03298479792,0.01397503279
Dim 767,0.01103262885,0.02289306271,0.007995921394,,0.01397387098
Dim 253,0.02531887282,0.01356861557,0.003379681127,0.01356692621,0.01395852393
Dim 674,0.02480533927,0.0141911542,0.002812384131,,0.01393629253
Dim 210,0.01911383018,0.0162541654,0.004293659622,0.01608268446,0.01393608492
Dim 800,,,0.01391916945,,0.01391916945
Dim 209,0.02023173897,0.00870645259,0.008600296626,0.01801816834,0.01388916413
Dim 638,0.01393214683,0.02551953953,0.002163515017,,0.01387173379
Dim 374,0.004723767149,0.03504544078,0.007999629218,0.007658509455,0.01385683665
Dim 637,0.02652391546,0.006764616783,0.008120133482,,0.01380288858
Dim 195,0.008861698183,0.01367161466,0.003042269188,0.02962365591,0.01379980949
Dim 605,0.01419911012,0.02396243563,0.00308676307,,0.01374943627
Dim 220,0.01666666667,0.0114980309,0.001548016314,0.02524842418,0.01374028451
Dim 470,0.01633481646,0.01164950015,0.004343715239,0.02248980349,0.01370445883
Dim 167,0.01858361142,0.016113299,0.006535038932,0.01320541342,0.01360934069
Dim 356,0.01677048572,0.01908209633,0.003561364479,0.01484612532,0.01356501797
Dim 165,0.01998702262,0.007185701303,0.007565813867,0.01951983686,0.01356459366
Dim 702,0.02609566185,0.01021660103,0.004284390063,,0.01353221765
Dim 159,0.01316462736,0.03215540745,0.002161661105,0.006624026696,0.01352643065
Dim 599,0.01714868372,0.02120720994,0.002024471635,,0.01346012176
Dim 82,0.01116981832,0.0296152681,0.006344086022,0.006668520578,0.01344942325
Dim 596,0.00939747868,0.02928203575,0.001624026696,,0.01343451371
Dim 614,0.006242120875,0.03239775826,0.001620318873,,0.013420066
Dim 625,0.02889506859,0.009498636777,0.001803856136,,0.01339918717
Dim 296,0.0183759733,0.01285065132,0.003253615128,0.01905265109,0.01338322271
Dim 345,0.01867630701,0.0156876704,0.003650352243,0.01549128661,0.01337640407
Dim 265,0.01805153875,0.00656467737,0.002237671487,0.02641824249,0.01331803252
Dim 153,0.02036892844,0.01222053923,0.006166110493,0.01404708936,0.01320066688
Dim 538,0.02112717835,0.01448651924,0.003984056359,,0.01319925131
Dim 748,0.01898405636,0.01827325053,0.002000370782,,0.01308589256
Dim 292,0.005150166852,0.02559678885,0.006998516871,0.0145736003,0.01307976822
Dim 626,0.006566555432,0.03069978794,0.00194475343,,0.0130703656
Dim 735,0.00557100482,0.03196758558,0.001662958843,,0.01306718308
Dim 658,0.01822395254,0.01652226598,0.004390063033,,0.01304542718
Dim 91,0.02728958102,0.005819448652,0.004532814238,0.01447534297,0.01302929672
Dim 577,0.01505190953,0.02196607089,0.002055988135,,0.01302465618
Dim 171,0.01389692251,0.02334444108,0.004358546533,0.01049684835,0.01302418962
Dim 135,0.02679273267,0.02058164193,0.0020189099,0.002658509455,0.01301294849
Dim 162,0.007256210604,0.01086034535,0.00181868743,0.03206154987,0.01299919831
Dim 593,0.008616981832,0.01922144805,0.01108268446,,0.01297370478
Dim 394,0.02476826103,0.01823992729,0.003785687801,0.004949944383,0.01293595513
Dim 283,0.03719503152,0.007734019994,0.002291434928,0.004493882091,0.01292859213
Dim 774,,,0.01292732666,,0.01292732666
Dim 315,0.01628661476,0.01820811875,0.001629588432,0.01551909529,0.01291085431
Dim 157,0.02692065258,0.01044229022,0.003109010011,0.01113644791,0.01290210018
Dim 68,0.01477196885,0.02411844895,0.005209492028,0.007458286986,0.01288954921
Dim 228,0.01702261772,0.006966070888,0.009282536151,0.01827956989,0.01288769866
