feature,importance
340,0.0014350843537771932
401,0.001432198020105816
645,0.0014300577574945128
66,0.0014278933833276179
430,0.0014266407130972465
542,0.0014266074681140379
638,0.0014251868275413778
246,0.0014243829747247424
535,0.0014238143148198937
487,0.001423656643076755
554,0.001422786423814301
570,0.0014221179185461672
577,0.0014215163064057361
762,0.0014214779120262186
188,0.001419541164067062
166,0.0014191544202268062
746,0.0014189690610059672
608,0.0014182980535298
538,0.0014145000352986734
283,0.0014123592829338879
625,0.0014112316347375106
185,0.0014102487230073298
175,0.0014092832442201377
642,0.00140893311596112
460,0.0014075525426880133
125,0.001407466619783684
184,0.0014045045223317777
113,0.0014013006047050908
264,0.0014007953086283315
63,0.0014006793755242765
62,0.0013995843020263203
429,0.0013962221336785022
713,0.001395204184208583
464,0.0013940786971634233
523,0.0013935918663726184
289,0.0013933986323104778
128,0.0013931378794219502
569,0.0013915721922018048
297,0.001390543674116501
701,0.001387700971281945
357,0.0013865758006748957
379,0.0013858329382530137
99,0.001385457088307172
678,0.0013813078592367716
491,0.0013810555729134254
737,0.001380338450012869
568,0.0013782027540337693
495,0.0013756323559936854
122,0.0013747852182127377
155,0.0013732243381383582
590,0.001373125587710175
262,0.001371054479294179
699,0.0013698736906570435
632,0.001368485427586465
216,0.0013682312211643515
426,0.0013676711934752883
278,0.0013666224693343126
546,0.0013662989213657653
257,0.001363494692059786
510,0.0013615586566405166
65,0.0013615216706633897
700,0.0013615197879426285
205,0.0013611825260483935
141,0.0013594765597336835
330,0.0013591191524070067
364,0.0013589538424743086
369,0.001358153104570753
499,0.00135762200379542
755,0.001356445633102697
36,0.0013544537258026513
163,0.001353604970870298
306,0.0013527629918595227
439,0.0013522683799470742
127,0.0013494278423314954
696,0.0013493204427364217
68,0.0013458442475283382
350,0.0013446879984681695
390,0.0013443265818616434
172,0.0013441602260802375
50,0.0013430931789992157
149,0.0013429667974281323
94,0.0013422798023435076
102,0.0013407471068544769
132,0.0013407300657265954
341,0.0013391060534683793
210,0.0013343941639539232
728,0.0013336319680405525
202,0.0013331147599501142
167,0.0013327297391411755
435,0.0013325895339477542
695,0.00132893961752343
95,0.001326868885152467
662,0.0013257527251117115
627,0.0013253324936609203
557,0.0013242786975442662
12,0.0013239193086140965
136,0.0013238195067958528
290,0.0013237882453733332
58,0.001323430806026416
214,0.0013226999976970171
474,0.0013226865803768707
24,0.0013210242903168815
497,0.0013198385269248727
56,0.0013177722451671197
176,0.001316783973348948
472,0.0013153500198341745
16,0.001313890885194263
266,0.0013124341956479617
682,0.0013109242433929737
145,0.001310578464043289
236,0.0013104107996540968
3,0.0013099791335762045
217,0.0013096357181373696
250,0.00130662216190579
718,0.0013057712223183927
744,0.0013053877024704855
687,0.0013051914433445085
315,0.001304080142776387
681,0.0013032669287533793
477,0.0013029120060596752
346,0.0013021508732724808
417,0.0013009572604334443
256,0.001298186747217607
412,0.0012978971930016098
154,0.001295294891610079
249,0.0012934408741451142
