Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 535,0.018364849833148143,0.017200848227809953,0.0026251390433815022,,0.012730279034779865
Dim 501,0.01896737115313326,0.0086488942744623,0.004460511679644086,0.018765294771969015,0.012710517969802167
Dim 425,0.020878754171301625,0.013026355649803277,0.004981460882462066,0.01167779013718951,0.01264109021018912
Dim 192,0.019668149796069838,0.008701908512572002,0.004805339265851007,0.017282165368928657,0.012614390735855376
Dim 421,0.006004820170559996,0.01639806119357792,0.0019929551353355312,0.02602706711160563,0.012605725902769769
Dim 188,0.019406748238783997,0.010148439866707125,0.00411753800519098,0.016655543196144058,0.01258206732670654
Dim 75,0.020706340378198167,0.008641320811875245,0.010511679644048979,0.010431961438635548,0.012572825568189484
Dim 1016,,,0.012556544308490982,,0.012556544308490982
Dim 484,0.02319243604004468,0.014378976067858372,0.0021486837226547726,0.010350389321468345,0.012517621288006544
Dim 139,0.007860585836114271,0.027918812481066466,0.009753429736744559,0.004493882091212495,0.012506677536284446
Dim 113,0.006696329254727575,0.029280521054226176,0.0024953652206154645,0.011462736373748648,0.012483737975829464
Dim 71,0.032541713014460696,0.008033929112390243,0.005229885057471341,0.004100852799406782,0.012476594995932268
Dim 334,0.020535780496848496,0.008718570130263618,0.00499258435298487,0.015639599555061324,0.012471633633789576
Dim 187,0.017647385984427274,0.012832475007573594,0.005283648498331565,0.014071190211346063,0.012458674925419624
Dim 819,,,0.012391546162402753,,0.012391546162402753
Dim 274,0.03607526881720446,0.006528324750075785,0.003924731182795719,0.00291805710048198,0.012361595462639485
Dim 754,0.015101965146459178,0.015407452287185897,0.006523915461624097,,0.012344444298423058
Dim 199,0.015850945494994616,0.013308088458043205,0.005739710789766496,0.014343715239154694,0.012310614995489754
Dim 755,0.017337782721542624,0.015319600121175558,0.004187986651835403,,0.012281789831517863
Dim 64,0.010355951056729741,0.012823386852469086,0.007973674453096087,0.017964404894327168,0.01227935431415552
Dim 60,0.007643678160919595,0.02167373523174812,0.005784204671857711,0.013998887652947834,0.012275126429368316
Dim 360,0.02852057842046737,0.007334141169342657,0.004527252502780908,0.008618835743418669,0.0122502019590024
Dim 28,0.013796811271783569,0.01571493486822198,0.0027233963663329274,0.016751946607341667,0.012246772278420035
Dim 19,0.012219132369299302,0.015240836110269811,0.006942899517983006,0.01439006303299977,0.012198232757637973
Dim 62,0.009308490915832454,0.013100575583156781,0.006731553578049763,0.01954579162031905,0.012171602924339511
Dim 66,0.007497219132369373,0.026455619509239848,0.01001483129403047,0.00464034111976276,0.012152002763850613
Dim 475,0.022710418984056506,0.010121175401393583,0.007322951427512099,0.008392658509454995,0.012136801080604295
Dim 245,0.017057842046718754,0.0064359285065132416,0.0018631813125694974,0.023186874304783313,0.012135956542646202
Dim 126,0.013841305153874823,0.02419872765828558,0.002736373748609529,0.007714126807564026,0.012122633342083489
Dim 682,0.022675194660734307,0.010157528021811635,0.0034927697441601746,,0.012108497475568707
Dim 47,0.02437337782721559,0.009176007270524113,0.007282165368928508,0.007567667779013763,0.012099804561420494
Dim 707,0.0209362254356694,0.006337473492881005,0.00901001112347058,,0.012094570017340328
Dim 423,0.013463107156099463,0.014092699182066194,0.0014460511679643899,0.019245457916203322,0.012061828855583342
Dim 221,0.017664071190211548,0.014683429263859623,0.009358546533185063,0.006507230255839902,0.012053319310774033
Dim 722,0.01033185020393033,0.01801878218721618,0.00779755283648506,,0.012049395075877191
Dim 432,0.010200222469410514,0.012125113601938978,0.003214682981090075,0.022621431219874068,0.012040362568078408
Dim 621,0.017267334074898194,0.008726143592850701,0.010124212087504686,,0.012039229918417861
Dim 141,0.011933629959214001,0.007643138442896145,0.0022710418984056074,0.026255098257323153,0.012025727139459727
Dim 160,0.006316277345198469,0.01196455619509254,0.006807563959955572,0.02298665183537275,0.012018762333904833
Dim 860,,,0.012015202076381194,,0.012015202076381194
Dim 444,0.018257322951427693,0.016526810057558575,0.004427141268075684,0.00881720430107532,0.012007119644534317
Dim 307,0.010765665554319626,0.028620115116631543,0.0054022988505747944,0.003075639599555027,0.011965929780270246
Dim 460,0.020567296996663122,0.009481975159042746,0.0017463848720800663,0.016028921023359437,0.011956144512786343
Dim 597,0.019506859473489284,0.01319751590427159,0.003110863922877247,,0.011938413100212706
Dim 671,0.013307378568780224,0.011182974856104297,0.011286614757137587,,0.011925656060674037
Dim 972,,,0.011911383018168372,,0.011911383018168372
Dim 257,0.005832406377456535,0.019697061496516427,0.008976640711902167,0.013120133481646338,0.011906560516880368
Dim 191,0.007797552836485048,0.03214177521963059,0.004890619206525836,0.002758620689655133,0.011897141988074152
Dim 999,,,0.011890989988876563,,0.011890989988876563
Dim 553,0.01631813125695229,0.01188730687670415,0.0074286243974787565,,0.011878020843711734
Dim 288,0.030912124582870026,0.0109996970614966,0.0021635150166851766,0.0034130515387467497,0.011872097049949638
Dim 363,0.01459028550241022,0.015007573462587284,0.0056414534668150764,0.012219132369299281,0.011864611200277965
Dim 48,0.023637374860956708,0.012140260527113141,0.007458286985539542,0.004141638857990391,0.011844390307899945
Dim 202,0.009078605858361186,0.013564071493487024,0.005515387467556615,0.019073044123099875,0.011807777235626175
Dim 378,0.006709306637004173,0.01799757649197228,0.007836484983314853,0.014592139414164021,0.011783876881613831
Dim 149,0.013270300333704195,0.011763102090275795,0.004160177975528398,0.017923618835743546,0.011779299808812984
Dim 309,0.015437523173897056,0.01859133595880055,0.002284019280682209,0.01077122728958105,0.011771026425740216
Dim 400,0.005513533555802838,0.019300212056952617,0.0029829440118649977,0.01921023359288118,0.011751730804375408
Dim 344,0.010038932146829879,0.01782793093002138,0.0016703744901742491,0.017452725250278207,0.01174749070432593
Dim 490,0.01200037078235081,0.011702514389579016,0.008451983685576613,0.01482758620689665,0.011745613766100772
Dim 393,0.016881720430107664,0.021131475310512116,0.002443455691509054,0.006401557285873274,0.011714552179500527
Dim 677,0.010891731553578086,0.019391093607997813,0.004853540971449823,,0.011712122044341905
Dim 592,0.011670374490174325,0.019881853983641538,0.0035372636262513972,,0.011696497366689087
Dim 477,0.026714868372265575,0.007249318388367207,0.0023340748980348234,0.010398591027067142,0.011674213171433686
Dim 751,0.014929551353355676,0.01616934262344761,0.003908045977011516,,0.011668979984604935
Dim 396,0.009747868001483183,0.024495607391699693,0.004619948090470946,0.007758620689655237,0.011655511043327266
Dim 136,0.006685205784204753,0.013970009088155272,0.010226177233963692,0.01567667779013734,0.011639517474115263
Dim 573,0.004447534297367505,0.022971826719176223,0.007484241750092745,,0.011634534255545491
Dim 204,0.01418613274008169,0.013512571947894743,0.010161290322580684,0.008642936596218063,0.011625732901693796
Dim 320,0.01051538746755658,0.013813995758861143,0.0034074898034853474,0.018735632183908228,0.011618126303452825
Dim 243,0.016866889136077277,0.01928506513177849,0.0020467185761957477,0.008129403040415314,0.011582018971116707
Dim 176,0.017465702632554828,0.018498939715238024,0.004182424916574014,0.006179087875417201,0.011581538784946019
Dim 369,0.017315535780496962,0.012777946076946543,0.001985539488320331,0.014080459770115036,0.011539870278969718
Dim 552,0.019753429736744675,0.007740078764010951,0.007107897664071264,,0.011533802054942296
Dim 493,0.021887282165369032,0.006579824295668044,0.006167964404894424,0.011436781609195442,0.011517963118781735
Dim 116,0.014256581386726102,0.013167222053923226,0.002415647015202045,0.016180941787171083,0.011505098060755614
Dim 338,0.011449758991472082,0.026693426234474675,0.005431961438635603,0.0024175009269558454,0.011498161897884551
Dim 500,0.004890619206525854,0.020381702514389727,0.009039673711531407,0.011657397107897703,0.011492348135086173
Dim 763,0.012146829810901058,0.01487125113601961,0.007398961809417938,,0.011472347585446201
Dim 170,0.019543937708565252,0.006020902756740472,0.002041156840934345,0.018266592510196664,0.011468147454109182
Dim 332,0.01289024842417512,0.009495607391699514,0.002738227660363331,0.02058583611420113,0.011427479897609774
Dim 94,0.02121060437523196,0.0064101787337171165,0.005224323322209947,0.01279013718946985,0.011408810905157218
Dim 132,0.014605116796440666,0.00645864889427453,0.006177233963663431,0.018279569892473264,0.011380142386712973
Dim 1005,,,0.011379310344827618,,0.011379310344827618
Dim 724,0.023214682981090265,0.005739169948500531,0.005157582499073124,,0.011370478476221307
Dim 186,0.006564701520207723,0.009730384731899452,0.005393029291805807,0.023783833889507063,0.011367987358355012
Dim 438,0.017775305895439544,0.022812784004847226,0.0024508713385242545,0.002419354838709644,0.011364579019380167
Dim 749,0.013828327771598193,0.01050742199333542,0.00965888023730074,,0.011331543334078117
Dim 708,0.02069892473118296,0.005714934868221814,0.007565813867259977,,0.011326557822221583
