,"('camem_bert_base_embeddings', 1)","('distilled_bert_base_cased', 1)","('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)","('mbert_base_cased', 1)","('mbert_base_uncased', 1)","('xlmr_r_large', 1)","('xlm_roberta_base', 1)"
Dim 73,0.025833303444957826,0.007865661845807694,0.012999774604348256,0.019248194879506103,0.013353538381631658,0.017743559882462245,0.0,0.012137259840535033,7.660828561674545e-05,0.0
Dim 74,0.01126479688144766,0.0072021995184581395,0.011953307698727364,0.013569512260398823,0.01708379957922736,0.026341605699435222,0.0,0.011254856618603145,7.453081217103136e-05,0.0
Dim 75,0.0143833306671543,0.007538693157340239,0.04127104667427325,0.012313103871931899,0.02394794441673899,0.01291699894802829,0.0,0.01681142561519493,0.000144883833618091,0.0
Dim 76,0.011681598583576909,0.009233486025349485,0.013422502051172883,0.02644475211602148,0.011723858840110325,0.02188820672392945,0.0,0.017465822344955976,8.152139777468242e-05,0.0
Dim 77,0.011378541708276098,0.006791089003396596,0.012635827289478705,0.02557803028967652,0.013254533687954985,0.012787408660154992,0.0,0.029989176369723928,0.0001113550659441035,0.0
Dim 78,0.015546882929903983,0.01837932631709023,0.018275938357998584,0.02130177774366871,0.011551242915188857,0.013911103847055723,0.0,0.019108877518555535,9.552006938065691e-05,0.0
Dim 79,0.011990456610365066,0.005881174292378495,0.01415512980346626,0.018270357792161237,0.012383102762781354,0.025560003654812303,0.0,0.018271301858404632,0.00010836344117109527,0.0
Dim 80,0.013038114350558573,0.009700271002795602,0.012604935351512378,0.014651709332752765,0.033614494189127236,0.01625171777586862,0.0,0.012666184504289144,0.00011810353396702829,0.0
Dim 81,0.023934862541500658,0.008015088322558806,0.01476268076070378,0.013651862548797033,0.02555824800318681,0.03443088901985259,0.0,0.01543188004998867,4.291303879890864e-05,0.0
Dim 82,0.012992721117596041,0.012951648908426826,0.01370185008364901,0.020930370602655082,0.01206628575815378,0.014767871593488111,0.0,0.014990291222452467,8.770746798859726e-05,0.0
Dim 83,0.013621003445813202,0.007111281382514508,0.014235654616098306,0.01301268345443722,0.01274838313027624,0.015232929183279509,0.0,0.012789062077171976,6.440553286003449e-05,0.0
Dim 84,0.013343509728114294,0.007986384407593231,0.022723480455400548,0.012041269196587805,0.011256811447581833,0.012352213245445873,0.0,0.04106273378776973,8.824322731107448e-05,0.0
Dim 85,0.014370639938202865,0.007653951390753778,0.014650810691135474,0.01908824761994931,0.01174789868811123,0.01948328987317017,0.0,0.011941609118023267,6.117477480021939e-05,0.0
Dim 86,0.012494202945159539,0.01114464551187659,0.012177595999070069,0.02636637473053841,0.01209812465863412,0.013232766048932308,0.0,0.01567644190451469,6.532872512836208e-05,0.0
Dim 87,0.015165248508151322,0.00899426754426454,0.018117597945521348,0.019863532518631963,0.0125044695697316,0.011721779609000081,0.0,0.013787736819783866,6.563325851020204e-05,0.0
Dim 88,0.01806567390460649,0.010358083874228827,0.011955548527547407,0.015417810067549748,0.01341124164894432,0.012953009510403058,0.0,0.011863926776011419,0.00010688467534835806,0.0
Dim 89,0.011278570495228174,0.010050102647823592,0.014723086904482851,0.015337230105113418,0.03406579318954877,0.03638026293189019,0.0,0.02691411464962848,8.298169844220235e-05,0.0
Dim 90,0.03487941227579265,0.006977767429003049,0.013412754153524494,0.024923334482995465,0.01031174728411623,0.021487093494534787,0.0,0.03306184481071219,9.973086312572817e-05,0.0
Dim 91,0.026482858456593587,0.008221661319803692,0.029908304595021872,0.015194964536280636,0.012351602069320695,0.01780537455897029,0.0,0.026849829573597717,0.0001084276171935051,0.0
Dim 92,0.013212376412627657,0.009313444235843486,0.012371795979648503,0.01169474098662477,0.024455184681497072,0.013672679274029126,0.0,0.038966324895989626,0.00011430748540784254,0.0
Dim 93,0.013169496432162421,0.010943537421340013,0.012209499275791694,0.013236570263538224,0.011330715234469439,0.01857999906591987,0.0,0.010868634233032956,6.74507175648603e-05,0.0
Dim 94,0.011075013051547044,0.007750037788159335,0.018946875220115136,0.01673740425433581,0.013488307348503549,0.011889859111263987,0.0,0.019483558033733875,5.8238418591004775e-05,0.0
Dim 95,0.022907286078851313,0.007753507816053311,0.012834771661341665,0.012794854206108588,0.011832887466613687,0.014946192793615996,0.0,0.012720514331939154,7.5997546490413e-05,0.0
Dim 96,0.017402836733287942,0.008400116945356096,0.012272007558409001,0.020447741930037712,0.018867779066808005,0.021735308001257874,0.0,0.02096660921582567,6.168183343441891e-05,0.0
Dim 97,0.01343790478511195,0.007624776242542716,0.016671658618554023,0.011874352485423028,0.016062237433971276,0.013327193574036857,0.0,0.012641879360185881,6.474137948650034e-05,0.0
Dim 98,0.014105072762123335,0.009088512750127179,0.011033831850890059,0.014737054766014512,0.01631385538402673,0.01934921873400628,0.0,0.015576570629568416,8.287688389163856e-05,0.0
Dim 99,0.016923199741689276,0.010224686584641976,0.017452525114391503,0.015463983345170228,0.014449993717212766,0.029726690998531556,0.0,0.010362367275853225,6.473853319997553e-05,0.0
Dim 100,0.046490993658361374,0.006723832271634834,0.021185762574663588,0.01413275838397167,0.011798394209072086,0.031866640326459625,0.0,0.011448479777518126,8.559112211640583e-05,0.0
Dim 101,0.020127491747825774,0.006907253367535976,0.014295152696251999,0.012959704934163343,0.013498089221680994,0.016822583396135734,0.0,0.013486466773471567,0.00010176558958211483,0.0
Dim 102,0.012717494634413976,0.007068027997610932,0.01219299479622154,0.021751718827264004,0.010375459921268192,0.02815468345720527,0.0,0.014613254854245122,0.00010802509593185341,0.0
