Feature,camem_bert_base_embeddings,distilled_bert_base_cased,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,mbert_base_cased,mbert_base_uncased,xlmr_r_large,xlm_roberta_base,Mean Importance
Dim 264,0.019986623863028456,0.02082263710618438,0.0024925093632958482,0.01497858017135878,0.004460674157303408,0.00856741573033714,0.043774795799299965,0.03929266467065877,0.006865183246073264,0.01658376963350788,0.01778248537410479
Dim 910,,,,,0.007419475655430775,,,,0.028108638743455507,,0.017764057199443142
Dim 618,0.018504547886570428,0.011767794632438726,0.011550561797752852,0.024112607099143403,0.024659176029962714,,0.018547257876312763,0.025467814371257537,0.01739528795811521,0.007552356020942367,0.01772860040805511
Dim 865,,,,,0.00937078651685401,,,,0.02604057591623039,,0.0177056812165422
Dim 195,0.013718566078116697,0.016178529754959196,0.014913857677902768,0.008642900856793189,0.006539325842696728,0.04004868913857695,0.014766627771295249,0.04406811377245522,0.017133507853403177,0.000962041884816754,0.017697216063101588
Dim 982,,,,,0.017837078651685528,,,,0.017506544502617842,,0.017671811577151683
Dim 135,0.00973247726056722,0.025297549591598637,0.05979588014981269,0.007155752753977998,0.00876029962546821,0.01446629213483159,0.008862310385064123,0.020404191616766487,0.011236910994764381,0.010975130890052304,0.017668679540290364
Dim 628,0.013964686998394952,0.03358809801633608,0.008528089887640516,0.027541309669522885,0.004681647940074965,,0.003529754959159844,0.03817365269461092,0.02706806282722517,0.0018520942408376923,0.017658599692644782
Dim 32,0.007980203317282062,0.009159859976662717,0.012608614232209775,0.0018696450428396306,0.01392883895131094,0.00640636704119861,0.09694282380396736,0.007099550898203581,0.01758507853403146,0.002951570680628264,0.01765325524783344
Dim 350,0.008432316746923595,0.029649941656942826,0.010232209737827782,0.010858323133415006,0.016367041198502026,0.055591760299625405,0.014544924154025715,0.013809880239520992,0.002951570680628257,0.01401832460732986,0.017645629245474144
Dim 692,0.052439807383627766,0.011032672112018645,0.0054400749063671225,0.004264075887392978,0.006726591760299707,,0.06212368728121358,0.013697604790419237,0.0026963350785340215,0.0003403141361256545,0.017640129259555413
Dim 407,0.009919743178170206,0.0037922987164527243,0.02875655430711625,0.04001376988984092,0.0060730337078652614,0.010707865168539388,0.01656942823803972,0.013401946107784501,0.032048429319371775,0.014620418848167538,0.017590348748134827
Dim 54,0.01661316211878011,0.03823220536756129,0.006329588014981363,0.01761627906976764,0.00717602996254689,0.030011235955056406,0.01722287047841312,0.015553892215568948,0.026740837696335125,6.544502617801053e-06,0.01755026453816287
Dim 902,,,,,0.02239325842696639,,,,0.012650523560209407,,0.017521890993587898
Dim 750,0.011305510968432382,0.007572928821470196,0.016653558052434604,0.015102509179926768,0.009664794007490669,,0.050075845974329077,0.03512724550898215,0.011138743455497363,0.0008835078534031417,0.017502738202440707
Dim 961,,,,,0.01572284644194773,,,,0.019247382198952914,,0.017485114320450322
Dim 428,0.01078384162653834,0.02972578763127191,0.05125280898876413,0.0003518971848225205,0.017621722846442093,0.029256554307116295,0.008728121353558866,0.021998502994012042,0.003965968586387417,0.0010471204188481676,0.01747323259377618
Dim 122,0.025930979133226496,0.023640606767794684,0.00363295880149813,0.010093329253366028,0.0015187265917602812,0.010775280898876452,0.01796966161026841,0.03977544910179649,0.040759162303664956,0.0004712041884816754,0.017456735865073358
Dim 27,0.008536650615302396,0.026639439906651123,0.002782771535580486,0.03981028151774805,0.030393258426966496,0.005735955056179865,0.024148191365227587,0.023334580838323397,0.012663612565445022,0.00042539267015706815,0.017447013449758148
Dim 276,0.013477795612627132,0.007263710618436353,0.007318352059925141,0.014346695226438355,0.013177902621722916,0.012831460674157406,0.05748541423570601,0.03289670658682647,0.006976439790575876,0.00859947643979052,0.01743739538662062
