,"('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)"
Dim 68,0.012749140922791643,0.023567251495628685,0.019517622104431805,0.01375890056390926
Dim 69,0.017298891249987472,0.01228738528993226,0.016754861948806037,0.016068066556301674
Dim 70,0.014984453877095303,0.01449742429070397,0.021121010400006995,0.025784574615311515
Dim 71,0.029728068243171472,0.021257946271242896,0.015241591533296826,0.01572016620570965
Dim 72,0.012425004234684607,0.01368534163664773,0.013701196891665778,0.02439198366628396
Dim 73,0.011529396813188283,0.014758261991095365,0.012976972686421175,0.012175897198497232
Dim 74,0.010903289036305898,0.015251674202771244,0.012064356806708613,0.014291317393918252
Dim 75,0.03226740246363795,0.012902938920882392,0.0124133583904088,0.02809642992573685
Dim 76,0.017003828736289296,0.012702028970519356,0.023485719546943347,0.01860687399675743
Dim 77,0.014411238373254505,0.03384977213402773,0.01060910096844767,0.013890795421322539
Dim 78,0.02066318681531233,0.03545436305965618,0.011436467413885083,0.014504866616898765
Dim 79,0.012178134476785505,0.021973419526852,0.014372553381310839,0.025091533667058408
Dim 80,0.012232584028765271,0.019273952768792898,0.013591852071696825,0.025669565447815616
Dim 81,0.01695695284171926,0.01539150525642236,0.016109190035574063,0.01990500854992109
Dim 82,0.01553327311581524,0.022778309646992467,0.01654239161157882,0.014295010194126994
Dim 83,0.012005302438545008,0.017506586290711713,0.012524951753531778,0.01852528157472938
Dim 84,0.01591456410247702,0.011767922215327646,0.02533509913350832,0.014574659796539735
Dim 85,0.013370724447016901,0.013294350455329208,0.013534664595159618,0.01737752055793118
Dim 86,0.014708079351413744,0.014300411842867143,0.011049684495848628,0.013824740017552236
Dim 87,0.021150348924118087,0.014491667406138506,0.012885730652134624,0.01135884849915891
Dim 88,0.01109147194099842,0.020952166312176827,0.01736871549214518,0.038660380019947226
Dim 89,0.012680450605162612,0.015275642592646577,0.016791786429491366,0.048055166910844584
Dim 90,0.01610543099964394,0.0212899701303398,0.012860878502219966,0.014460117719226551
Dim 91,0.019832639521369568,0.020799395684152556,0.019752623915843724,0.019747051385649316
Dim 92,0.013245025681985333,0.01667929709971466,0.012144994798930952,0.011101034785292714
Dim 93,0.01216415043787535,0.021976838832221054,0.022521789663083377,0.01462494677433205
Dim 94,0.013013829709933785,0.040949813415181446,0.010549881132648995,0.031072704603245453
Dim 95,0.017534313682986583,0.04130413517196187,0.014032079812349298,0.029575003506618958
Dim 96,0.025159490080364243,0.017447864375459223,0.012453538621855706,0.013866018886658912
Dim 97,0.012433420871744953,0.025441716951509912,0.0136028394487831,0.01829007982706279
Dim 98,0.012240741190449916,0.015546014878793512,0.018247251088596213,0.014895465274734064
Dim 99,0.020836824029883294,0.011928563476471208,0.02712570523778273,0.02511395800459729
Dim 100,0.012985461613174565,0.013564141702809774,0.011797603781954451,0.011419731216307107
