Feature,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,Mean Importance
Dim 638,0.02309394409937893,0.01920825016633405,0.006319875776397468,,0.016207356680703482
Dim 521,0.022360248447205047,0.01915169660678647,0.006975931677018607,,0.016162625577003372
Dim 730,0.03271739130434792,0.013968729208250248,0.0016576086956521668,,0.016114576402750113
Dim 683,0.021133540372670807,0.02142381902860952,0.005477484472049635,,0.01601161462444332
Dim 760,0.018893633540372736,0.020854956753160396,0.008163819875776426,,0.01597080338976985
Dim 658,0.0031715838509316515,0.0415236194278111,0.0031638198757763733,,0.01595300771817304
Dim 511,0.03198369565217391,0.02112774451097812,0.0004270186335403727,0.010034937888198791,0.015893349171222797
Dim 602,0.019064440993788876,0.02456420492348646,0.004037267080745307,,0.015888637666006882
Dim 396,0.007783385093167712,0.042332002661344,0.00024068322981366454,0.012798913043478324,0.015788746006950925
Dim 862,,,0.015690993788819944,,0.015690993788819944
Dim 184,0.013660714285714349,0.024181636726547027,0.012290372670807514,0.012115683229813736,0.015562101728220656
Dim 399,0.01952639751552799,0.02651696606786439,0.009483695652173947,0.006688664596273256,0.015553930957959896
Dim 106,0.022274844720496928,0.02695276114437803,0.001358695652173906,0.011463509316770263,0.01551245270845478
Dim 162,0.03165760869565225,0.013782435129740582,0.00042313664596273297,0.016005434782608716,0.01546715381349107
Dim 148,0.008404503105590058,0.025775116433799154,0.018668478260869596,0.009002329192546604,0.015462606748201352
Dim 519,0.01779503105590069,0.02196939454424489,0.006475155279503057,,0.015413193626549545
Dim 17,0.01792701863354046,0.019713905522288837,0.010038819875776456,0.013796583850931719,0.015369081970634368
Dim 642,0.004309006211180088,0.040116433799068624,0.001576086956521731,,0.015333842322256817
Dim 929,,,0.01531444099378889,,0.01531444099378889
Dim 466,0.03442158385093179,0.00608782435129739,0.00017857142857142854,0.02043866459627333,0.015281661056768486
Dim 256,0.016028726708074557,0.009807052561543631,0.020986024844720556,0.013986801242236089,0.015202151339143707
Dim 515,0.031094720496894473,0.010535595475715313,0.003757763975155251,,0.015129359982588346
